domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
ceodelhi.gov.in,True,False,True,False,False,True,0,0,True,0,,,3.0,0.0,0.0,0.161,0.161,google-analytics.com,6,1,1,1,1,1,1,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.0,6,1.0
chemexcil.in,True,False,True,False,True,True,3,3,True,11,,,357.0,0.983,0.134,0.836,0.836,youtube.com;google.com;jnn-pa.googleapis.com;gstatic.com;doubleclick.net,0,0,0,0,0,0,0,TLS_1_3,64.0,0.571,0.0,0.0,0,1,,,,,False,0.42857142857142855,0,0.0
delhipolice.gov.in,True,False,False,False,True,False,0,0,True,2,,,314.0,0.975,0.0,0.767,0.768,youtube.com;doubleclick.net;jnn-pa.googleapis.com;gstatic.com;google.com,5,1,1,0,1,1,1,TLS_1_2,243.0,1.0,0.0,0.0,0,1,,,,,False,0.0,5,0.8333333333333334
dic.gov.in,True,False,True,False,True,True,0,6,True,1,NONE,,27.0,0.0,0.037,0.564,0.984,digitalindiacorporation.in;gstatic.com;cloudflare.com;fonts.googleapis.com;jsdelivr.net,4,1,1,1,0,0,1,TLS_1_3,158.0,0.571,0.0,0.5,1,1,True,,,,False,0.0,4,0.6666666666666666
fabkerala.gov.in,True,False,False,False,False,False,0,0,False,0,,,344.0,0.994,0.081,0.923,0.924,youtube.com;userway.org;doubleclick.net;jnn-pa.googleapis.com;google.com,5,1,0,1,1,1,1,TLS_1_3,264.0,0.596,0.34,0.0,0,1,,,,,False,0.0,5,0.8333333333333334
goaelectricity.gov.in,True,False,True,False,True,True,0,0,True,1,,,10.0,0.9,0.1,0.891,0.901,fbcdn.net;gstatic.com;translate.googleapis.com;google.com;facebook.com,3,1,0,0,0,1,1,TLS_1_3,59.0,0.5,0.375,0.0,0,1,,,,,False,0.0,3,0.5
iirs.gov.in,True,False,True,False,True,True,0,0,True,2,NONE,,12.0,0.0,0.0,0.328,0.328,gstatic.com;google-analytics.com;googletagmanager.com;fonts.googleapis.com;jquery.com,3,1,0,0,0,1,1,,0.0,0.0,0.0,0.5,1,1,True,,,,False,0.0,3,0.5
mahafireservice.gov.in,True,False,False,False,True,False,0,0,False,0,,,10.0,0.9,0.1,0.818,0.866,gstatic.com;bootstrapcdn.com;cloudflare.com;fonts.googleapis.com;ajax.googleapis.com,2,0,0,0,0,1,1,TLS_1_3,65.0,0.556,0.0,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
suratmunicipal.gov.in,True,False,True,False,True,True,0,0,True,1,,,17.0,0.529,0.0,0.62,0.62,gstatic.com;translate.googleapis.com;google-analytics.com;googletagmanager.com;fonts.googleapis.com,1,0,0,0,0,1,0,TLS_1_3,372.0,0.471,0.412,0.0,0,1,,,,,False,0.0,1,0.16666666666666666
usof.gov.in,True,False,True,False,False,True,0,1,True,1,NONE,,2.0,0.0,0.0,0.855,0.855,fbcdn.net;google.com;twitter.com;facebook.com;googletagmanager.com,6,1,1,1,1,1,1,TLS_1_3,106.0,0.333,0.0,0.5,1,1,True,,,,False,0.0,6,1.0
