visit_id,first_party,fp_domain,url,req_domain,resource_type,status,referrer,is_third_party,is_third_party_dom,owner,categ,default,prevalence,fingerprinting
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.336,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.336,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.331,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.33,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.248,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.192,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.431,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.372,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.343,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.336,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.336,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.331,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.33,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.248,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://fonts.googleapis.com/css?family=Montserrat:100,fonts.googleapis.com,stylesheet,200.0,https://www.andm.gov.za/,,1,Google LLC,CDN;Embedded Content,unknown,0.192,0.0
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://www.andm.gov.za/wp-content/cache/wpfc-minified/q9p91ezn/hcnql.css,andm.gov.za,stylesheet,200.0,https://www.andm.gov.za/,,0,,,,,
7603129937976433,https://www.andm.gov.za/,andm.gov.za,https://www.andm.gov.za/wp-content/cache/wpfc-minified/q9p91ezn/hcnql.css,andm.gov.za,stylesheet,200.0,https://www.andm.gov.za/,,0,,,,,
