domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
esmovilidad.transportes.gob.es,False,False,True,True,False,True,0,0,True,0,,,1.0,0.0,0.0,0.0,0.164,mitma.gob.es,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,53.0,0.596,0.34,1.0,1,0,,,,,True,0.0,4.0,0.6666666666666666
espanadigital.gob.es,False,False,True,False,False,True,0,0,True,0,,,13.0,0.0,0.154,0.552,0.552,gstatic.com;insuit.net;fontawesome.com;fonts.googleapis.com;addtoany.com,5.0,1.0,1.0,0.0,1.0,1.0,1.0,TLS_1_3,201.0,0.438,0.375,0.0,0,1,,,,,False,0.0,5.0,0.8333333333333334
exteriores.gob.es,True,True,True,True,True,True,6,4,True,1,,none,75.0,0.96,0.16,0.783,0.783,youtube.com;google.com;jnn-pa.googleapis.com;doubleclick.net;gstatic.com,3.0,0.0,1.0,0.0,0.0,1.0,1.0,TLS_1_3,53.0,0.5,0.0,,0,0,,,,,,0.8571428571428571,3.0,0.5
firmaelectronica.gob.es,False,True,True,False,False,True,0,0,True,0,,banner,86.0,0.628,0.186,0.735,0.745,adobedtm.com;demdex.net;omtrdc.net;everesttech.net;rum.hlx.page,4.0,1.0,1.0,0.0,0.0,1.0,1.0,TLS_1_3,227.0,0.5,0.0,0.0,0,1,,,,False,,0.0,4.0,0.6666666666666666
futuros.gob.es,False,False,True,True,False,True,5,0,True,1,INTERNATIONAL,,22.0,0.0,0.045,0.742,0.742,onetrust.com;gstatic.com;jsdelivr.net;googletagmanager.com;cloudflare.com,4.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.7142857142857143,4.0,0.6666666666666666
generaciond.gob.es,False,True,True,True,False,True,0,0,True,0,,none,8.0,0.0,0.0,0.539,0.539,gstatic.com;jsdelivr.net;unpkg.com;google-analytics.com;googletagmanager.com,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,54.0,0.5,0.0,1.0,1,0,,True,,,,0.0,4.0,0.6666666666666666
hacienda.gob.es,True,False,True,True,True,True,11,0,True,2,INTERNATIONAL,,308.0,0.029,0.968,0.429,0.429,twitter.com;gstatic.com;fonts.googleapis.com,4.0,1.0,1.0,0.0,0.0,1.0,1.0,TLS_1_2,201.0,1.0,0.0,0.0,0,1,,,,,False,1.5714285714285714,4.0,0.6666666666666666
igae.pap.hacienda.gob.es,False,False,True,True,False,True,6,0,True,0,INTERNATIONAL,,200.0,0.0,0.965,0.12,0.12,cloudflare.com,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.8571428571428571,6.0,1.0
igualdad.gob.es,False,True,True,True,False,True,7,0,True,0,,banner,17.0,0.529,0.0,0.631,0.631,gstatic.com;google.com;google-analytics.com;googletagmanager.com;translate.googleapis.com,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,,False,,1.0,6.0,1.0
inclasns.sanidad.gob.es,False,False,True,False,False,True,0,0,True,0,,,8.0,0.0,0.0,0.47,0.47,google-analytics.com;gstatic.com;googletagmanager.com;fonts.googleapis.com,3.0,1.0,0.0,0.0,0.0,1.0,1.0,TLS_1_3,59.0,0.5,0.0,0.0,0,1,,,,,False,0.0,3.0,0.5
ingesa.sanidad.gob.es,False,False,True,True,False,True,7,0,True,0,,,2.0,0.0,1.0,0.164,0.164,jsdelivr.net,5.0,1.0,1.0,0.0,1.0,1.0,1.0,TLS_1_3,107.0,0.596,0.34,0.0,0,1,,,,,False,1.0,5.0,0.8333333333333334
lamoncloa.gob.es,False,True,True,False,False,True,0,0,True,0,,banner,6.0,0.0,0.0,0.214,0.214,google-analytics.com,4.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1,0,,,,True,,0.0,4.0,0.6666666666666666
mapa.gob.es,True,True,True,False,True,True,0,0,True,1,,banner,165.0,0.491,0.564,0.734,0.734,youtube.com;twitter.com;jnn-pa.googleapis.com;doubleclick.net;gstatic.com,4.0,1.0,1.0,0.0,0.0,1.0,1.0,TLS_1_3,54.0,0.55,0.3,0.0,0,1,,,,False,,0.0,4.0,0.6666666666666666
mintur.gob.es,False,True,True,True,False,True,7,0,True,69,,banner,0.0,0.0,0.0,0.551,0.551,fonts.googleapis.com;readspeaker.com;unpkg.com;googletagmanager.com;ajax.googleapis.com,3.0,0.0,1.0,0.0,0.0,1.0,1.0,TLS_1_2,152.0,0.636,0.364,1.0,1,0,,,,True,,1.0,3.0,0.5
miteco.gob.es,True,True,True,False,True,True,0,1,True,9,,none,15.0,0.6,0.4,0.794,0.798,youtube-nocookie.com;jnn-pa.googleapis.com;adobedtm.com;gstatic.com;twitter.com,6.0,1.0,1.0,1.0,1.0,1.0,1.0,TLS_1_3,287.0,0.75,0.0,,0,0,,,,,,0.0,6.0,1.0
mites.gob.es,True,True,False,False,True,True,0,6,True,0,NONE,banner,139.0,0.281,0.46,0.869,0.87,telegram.org;twitter.com;go-mpulse.net;googletagmanager.com;akstat.io,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.5,1,1,True,,,False,,0.0,6.0,1.0
